No,Nama Perusahaan,Kode Saham,Kode Subindustri,Sektor,Subsektor,Industri,Subindustri,Index,PER,PBV,ROE %,ROA %,DER,Mkt Cap,Total Rev,4-wk %Pr. Chg.,13-wk %Pr. Chg.,26-wk %Pr. Chg.,52-wk %Pr. Chg.,NPM %,MTD,YTD
1,PT Adaro Andalan Indonesia Tbk,AADI,A121,Energy,"Oil, Gas & Coal",Coal,Coal Production,"COMPOSITE, IDX30, IDX80, IDXENERGY, IDXV30, ISSI, KOMPAS100, LQ45, MBX",4.46,0.92,20.69,12.84,0.61,58401688200000,60243564576000,-19.14,0.35,-0.35,-23.10,21.74,-4.71,-13.98
2,Astra Agro Lestari Tbk,AALI,D232,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops,"COMPOSITE, IDXNONCYC, IDXSMC-COM, Investor33, ISSI, MBX",10.29,0.62,5.98,5.07,0.18,14579514122475,22118716000000,-4.50,1.71,23.24,18.80,6.40,-2.94,20.73
3,Mahaka Media Tbk,ABBA,E614,Consumer Cyclicals,Media & Entertainment,Media,Consumer Publishing,"COMPOSITE, IDXCYCLIC",-37.99,-2.54,,-2.12,-4.15,216474107135,126929045731,-6.78,25.00,41.03,83.33,-4.49,0.00,103.70
4,Asuransi Bina Dana Arta Tbk,ABDA,G412,Financials,Insurance,Insurance,General Insurance,"COMPOSITE, IDXFINANCE, IDXSMC-COM",15.85,1.00,6.33,3.74,0.69,1669969969200,850341522000,-0.37,-9.43,-20.88,-29.21,12.39,0.00,-29.21
5,ABM Investama Tbk,ABMM,C311,Industrials,Multi-sector Holdings,Multi-sector Holdings,Multi-sector Holdings,"COMPOSITE, IDXENERGY, IDXSMC-COM, ISSI, MBX",6.36,0.56,8.76,3.64,1.40,8039241800000,13047278748348,-9.39,-3.45,-11.39,-20.45,9.69,-3.78,-21.57
6,PT Aspirasi Hidup Indonesia Tbk,ACES,E743,Consumer Cyclicals,Retailing,Specialty Retail,Home Improvement Retail,"COMPOSITE, ECONOMIC30, ESGSKEHATI, IDX80, IDXCYCLIC, IDXESGL, IDXHIDIV20, IDXLQ45LCL, IDXQ30, IDXSMC-COM, IDXSMC-LIQ, ISSI, JII70, KOMPAS100, LQ45, MBX",8.96,1.11,12.39,9.80,0.27,7156322894600,6333867633117,-4.59,-4.15,-23.67,-49.58,12.61,0.00,-44.90
7,PT Samcro Hyosung Adilestari Tbk.,ACRO,E413,Consumer Cyclicals,Apparel & Luxury Goods,Apparel & Luxury Goods,Textiles,"COMPOSITE, DBX, IDXCYCLIC, ISSI",34.54,1.66,4.82,3.82,0.26,305289834520,30191836414,-3.37,1.18,34.38,22.86,29.28,1.18,-21.10
8,PT Acset Indonusa Tbk.,ACST,J211,Infrastructures,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,"COMPOSITE, DBX, IDXINFRA, IDXSMC-COM, ISSI",-6.72,9.31,-138.62,-9.35,13.83,2456847240000,1819817000000,3.82,0.74,47.83,43.16,-20.09,2.26,52.81
9,Adhi Commuter Properti Tbk,ADCP,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, DBX, IDXPROPERT, IDXSMC-COM, ISSI",155.90,0.46,0.29,0.11,1.67,1199999998800,165544240536,5.45,0.00,16.00,16.00,4.65,9.43,16.00
10,Akasha Wira International Tbk,ADES,D212,Consumer Non-Cyclicals,Food & Beverage,Beverages,Soft Drinks,"COMPOSITE, DBX, IDXNONCYC, IDXSMC-COM, ISSI",13.60,3.30,24.24,20.38,0.19,9054915880000,1848380000000,1.49,13.31,45.26,62.17,36.02,-0.33,68.41
