 eventID,datetime,latitude,longitude,magnitude,mag_type,depth,phasecount,azimuth_gap,location,kategori_magnitude,mag_type_encoded,location_encoded
bmg2025qdxk,2025-08-18 19:48:26.962797+00:00,4.818059921264648,96.788818359375,1.796839999337658,MLv,5,13.0,110.30391693115234,"Northern Sumatra, Indonesia",Ringan,2,18
bmg2025qdxa,2025-08-18 19:36:15.909379+00:00,-6.035361289978027,103.82621002197266,2.371711250149142,MLv,8,17.0,269.40821075439453,"Southwest of Sumatra, Indonesia",Ringan,2,28
bmg2025qdwx,2025-08-18 19:32:48.184130+00:00,-1.358738660812378,120.64234161376952,1.3599796900369885,MLv,5,12.0,201.4132232666016,"Sulawesi, Indonesia",Ringan,2,29
bmg2025qdwp,2025-08-18 19:23:32.255045+00:00,1.0295069217681885,125.59539794921876,2.604022961904336,MLv,37,8.0,261.7720031738281,Northern Molucca Sea,Ringan,2,17
bmg2025qdwi,2025-08-18 19:15:55.688019+00:00,1.0250215530395508,125.59622955322266,2.990525163938732,MLv,40,10.0,262.02203369140625,Northern Molucca Sea,Ringan,2,17
bmg2025qdwj,2025-08-18 19:14:32.374861+00:00,-7.955062389373779,114.18645477294922,2.4213172280135087,MLv,11,15.0,87.07208824157715,Bali Sea,Ringan,2,2
bmg2025qdwh,2025-08-18 19:14:00.482486+00:00,-1.5549222230911257,120.45916748046876,2.1665748872541446,MLv,8,16.0,86.22914123535156,"Sulawesi, Indonesia",Ringan,2,29
bmg2025qdwe,2025-08-18 19:10:43.777641+00:00,-1.3499752283096311,120.63817596435548,1.8809117891047908,MLv,5,17.0,158.47410583496094,"Sulawesi, Indonesia",Ringan,2,29
bmg2025qdvs,2025-08-18 18:57:34.291423+00:00,-7.994261741638184,114.19356536865234,2.72293227381556,MLv,10,22.0,53.77515411376953,Bali Sea,Ringan,2,2
bmg2025qdua,2025-08-18 18:05:47.090192+00:00,1.0575640201568604,125.56529235839844,4.466993759899923,MLv,41,45.0,86.33760070800781,Northern Molucca Sea,Sedang,2,17
bmg2025qdse,2025-08-18 17:09:50.342475+00:00,-1.3325607776641846,120.6020965576172,2.044170726705744,MLv,8,23.0,77.14794921875,"Sulawesi, Indonesia",Ringan,2,29
bmg2025qdrd,2025-08-18 16:38:03.134155+00:00,0.3227919638156891,122.61153411865234,1.8943043652964136,MLv,10,12.0,131.87464904785156,"Minahassa Peninsula, Sulawesi",Ringan,2,13
bmg2025qdqy,2025-08-18 16:32:30.641686+00:00,-3.689476013183594,140.04412841796875,2.665044848096425,MLv,14,12.0,179.0328140258789,"West Papua, Indonesia",Ringan,2,39
bmg2025qdqv,2025-08-18 16:29:02.943618+00:00,-8.091009140014648,117.8481216430664,2.66090647385741,MLv,16,38.0,177.9975814819336,"Sumbawa Region, Indonesia",Ringan,2,32
bmg2025qdoa,2025-08-18 15:04:09.851297+00:00,-5.477112770080566,104.3465805053711,1.9742496677209416,MLv,21,10.0,157.61521911621094,"Southern Sumatra, Indonesia",Ringan,2,27
bmg2025qdny,2025-08-18 15:01:17.632680+00:00,-5.513214588165283,104.62478637695312,0.9861262067736104,MLv,10,7.0,135.48658752441406,"Southern Sumatra, Indonesia",Ringan,2,27
bmg2025qdnd,2025-08-18 14:35:41.833402+00:00,-7.986673831939697,114.20523834228516,3.451149707355635,MLv,10,34.0,54.33187103271484,Bali Sea,Sedang,2,2
bmg2025qdnc,2025-08-18 14:35:38.422263+00:00,-1.3538352251052856,120.61409759521484,3.634213839666937,MLv,5,23.0,96.5410614013672,"Sulawesi, Indonesia",Sedang,2,29
bmg2025qdnb,2025-08-18 14:34:23.413546+00:00,-1.3720921277999878,120.61199188232422,3.336933114252167,MLv,5,35.0,74.89904022216797,"Sulawesi, Indonesia",Sedang,2,29
