Booking_ID,Tanggal_Checkin,Tipe_Kamar,Harga_Per_Malam,Jumlah_Malam,Channel_Booking,Customer_Type,Cancellation,Rating,Repeat_Booking,Total_Revenue,Weekend
HTL0001,2026-01-01,Family,1579334,6,Website Hotel,Leisure,Tidak,4.7,Tidak,9476004,False
HTL0002,2026-01-02,Standard,1599158,1,OTA,Business,Tidak,4.2,Tidak,1599158,False
HTL0003,2026-01-03,Family,947839,1,OTA,Family,Tidak,4.5,Ya,947839,True
HTL0004,2026-01-04,Family,559145,7,OTA,Leisure,Tidak,4.7,Ya,3914015,True
HTL0005,2026-01-05,Suite,879385,6,OTA,Family,Ya,4.5,Ya,5276310,False
HTL0006,2026-01-06,Standard,996142,7,OTA,Leisure,Tidak,3.8,Tidak,6972994,False
HTL0007,2026-01-07,Standard,1400276,7,OTA,Business,Tidak,4.2,Ya,9801932,False
HTL0008,2026-01-08,Deluxe,1240953,3,OTA,Family,Tidak,3.8,Tidak,3722859,False
HTL0009,2026-01-09,Standard,1398631,4,OTA,Family,Tidak,5.0,Tidak,5594524,False
HTL0010,2026-01-10,Deluxe,692397,3,Website Hotel,Business,Tidak,4.5,Tidak,2077191,True
HTL0011,2026-01-11,Deluxe,487397,5,Website Hotel,Leisure,Tidak,5.0,Tidak,2436985,True
HTL0012,2026-01-12,Standard,1399900,6,OTA,Family,Tidak,5.0,Tidak,8399400,False
HTL0013,2026-01-13,Standard,770012,3,OTA,Business,Tidak,4.7,Tidak,2310036,False
HTL0014,2026-01-14,Standard,1282400,4,Website Hotel,Leisure,Tidak,4.0,Tidak,5129600,False
HTL0015,2026-01-15,Suite,1403786,4,OTA,Business,Tidak,4.1,Tidak,5615144,False
HTL0016,2026-01-16,Standard,1027330,4,Website Hotel,Leisure,Tidak,3.6,Tidak,4109320,False
HTL0017,2026-01-17,Family,1256905,4,Website Hotel,Family,Tidak,3.8,Tidak,5027620,True
HTL0018,2026-01-18,Standard,1644236,3,OTA,Business,Tidak,3.8,Tidak,4932708,True
HTL0019,2026-01-19,Deluxe,666195,1,Travel Agent,Business,Tidak,4.8,Ya,666195,False
HTL0020,2026-01-20,Suite,722243,2,OTA,Family,Ya,3.6,Tidak,1444486,False
HTL0021,2026-01-21,Standard,946041,6,OTA,Business,Tidak,4.1,Ya,5676246,False
HTL0022,2026-01-22,Family,1636112,6,OTA,Business,Tidak,4.5,Tidak,9816672,False
HTL0023,2026-01-23,Suite,717673,4,Website Hotel,Business,Tidak,4.7,Ya,2870692,False
HTL0024,2026-01-24,Suite,1455386,4,OTA,Leisure,Tidak,3.7,Tidak,5821544,True
HTL0025,2026-01-25,Family,823867,4,OTA,Leisure,Tidak,3.8,Tidak,3295468,True
HTL0026,2026-01-26,Standard,1438254,7,OTA,Family,Tidak,4.3,Tidak,10067778,False
HTL0027,2026-01-27,Deluxe,1038213,1,Travel Agent,Leisure,Tidak,4.3,Ya,1038213,False
HTL0028,2026-01-28,Standard,1143294,7,Travel Agent,Family,Tidak,4.0,Tidak,8003058,False
HTL0029,2026-01-29,Deluxe,1038493,4,Website Hotel,Leisure,Tidak,3.9,Tidak,4153972,False
HTL0030,2026-01-30,Family,1718510,6,OTA,Business,Tidak,4.1,Tidak,10311060,False
HTL0031,2026-01-31,Family,1726973,4,OTA,Business,Tidak,4.4,Ya,6907892,True
HTL0032,2026-02-01,Deluxe,541257,3,OTA,Leisure,Tidak,3.6,Tidak,1623771,True
HTL0033,2026-02-02,Deluxe,838094,3,OTA,Family,Tidak,4.3,Tidak,2514282,False
HTL0034,2026-02-03,Standard,1725305,7,OTA,Family,Tidak,3.9,Tidak,12077135,False
HTL0035,2026-02-04,Standard,1025278,5,Website Hotel,Leisure,Tidak,4.1,Tidak,5126390,False
HTL0036,2026-02-05,Standard,643356,6,OTA,Family,Tidak,3.8,Ya,3860136,False
HTL0037,2026-02-06,Standard,1707162,2,OTA,Business,Tidak,4.2,Ya,3414324,False
HTL0038,2026-02-07,Suite,443684,7,OTA,Leisure,Tidak,3.7,Ya,3105788,True
HTL0039,2026-02-08,Standard,1107658,3,OTA,Family,Tidak,4.7,Ya,3322974,True
HTL0040,2026-02-09,Suite,352370,4,OTA,Leisure,Tidak,4.7,Tidak,1409480,False
HTL0041,2026-02-10,Deluxe,1717442,3,OTA,Business,Tidak,3.3,Ya,5152326,False
HTL0042,2026-02-11,Family,518540,3,OTA,Leisure,Tidak,4.0,Tidak,1555620,False
HTL0043,2026-02-12,Standard,1255967,7,OTA,Leisure,Tidak,3.5,Ya,8791769,False
HTL0044,2026-02-13,Family,1386729,7,Website Hotel,Business,Tidak,3.8,Tidak,9707103,False
HTL0045,2026-02-14,Suite,1763705,6,Travel Agent,Family,Tidak,4.2,Ya,10582230,True
HTL0046,2026-02-15,Standard,1286002,5,Website Hotel,Business,Tidak,4.2,Tidak,6430010,True
HTL0047,2026-02-16,Deluxe,1438585,2,Website Hotel,Family,Tidak,3.9,Tidak,2877170,False
HTL0048,2026-02-17,Standard,1221273,4,Travel Agent,Family,Tidak,4.0,Tidak,4885092,False
HTL0049,2026-02-18,Standard,1255014,7,OTA,Business,Tidak,4.0,Tidak,8785098,False
HTL0050,2026-02-19,Deluxe,1781267,3,Website Hotel,Business,Tidak,4.1,Tidak,5343801,False
HTL0051,2026-02-20,Standard,1020840,6,Travel Agent,Business,Tidak,4.0,Tidak,6125040,False
HTL0052,2026-02-21,Family,758225,4,OTA,Business,Tidak,4.2,Tidak,3032900,True
HTL0053,2026-02-22,Standard,1715387,6,OTA,Business,Tidak,4.0,Tidak,10292322,True
HTL0054,2026-02-23,Deluxe,1660638,2,OTA,Family,Tidak,4.0,Tidak,3321276,False
HTL0055,2026-02-24,Standard,1243168,2,Travel Agent,Family,Tidak,4.2,Tidak,2486336,False
HTL0056,2026-02-25,Deluxe,1726603,7,OTA,Business,Tidak,4.5,Tidak,12086221,False
HTL0057,2026-02-26,Deluxe,1582246,1,OTA,Leisure,Ya,4.8,Tidak,1582246,False
HTL0058,2026-02-27,Standard,1213195,1,OTA,Business,Tidak,4.4,Ya,1213195,False
HTL0059,2026-02-28,Family,362569,7,OTA,Family,Ya,4.0,Tidak,2537983,True
HTL0060,2026-03-01,Suite,1696930,5,OTA,Leisure,Tidak,4.3,Tidak,8484650,True
HTL0061,2026-03-02,Deluxe,1118809,3,OTA,Leisure,Tidak,3.4,Tidak,3356427,False
HTL0062,2026-03-03,Suite,1587853,4,OTA,Leisure,Tidak,3.3,Ya,6351412,False
HTL0063,2026-03-04,Standard,1553578,3,Travel Agent,Leisure,Tidak,4.4,Ya,4660734,False
HTL0064,2026-03-05,Deluxe,1724286,1,Website Hotel,Family,Tidak,4.1,Ya,1724286,False
HTL0065,2026-03-06,Standard,1429183,1,Website Hotel,Business,Tidak,3.8,Tidak,1429183,False
HTL0066,2026-03-07,Deluxe,1349724,7,Website Hotel,Leisure,Tidak,4.0,Tidak,9448068,True
HTL0067,2026-03-08,Standard,1087461,3,Website Hotel,Business,Tidak,3.6,Ya,3262383,True
HTL0068,2026-03-09,Standard,693083,6,Website Hotel,Family,Tidak,4.3,Tidak,4158498,False
HTL0069,2026-03-10,Suite,1546411,1,Website Hotel,Leisure,Tidak,4.8,Tidak,1546411,False
HTL0070,2026-03-11,Deluxe,1438020,5,OTA,Family,Tidak,4.9,Ya,7190100,False
HTL0071,2026-03-12,Standard,1537077,4,OTA,Family,Tidak,4.8,Tidak,6148308,False
HTL0072,2026-03-13,Suite,749206,1,Website Hotel,Family,Tidak,4.6,Tidak,749206,False
HTL0073,2026-03-14,Deluxe,577976,6,OTA,Leisure,Tidak,4.4,Tidak,3467856,True
HTL0074,2026-03-15,Suite,1495434,2,OTA,Leisure,Tidak,4.7,Tidak,2990868,True
HTL0075,2026-03-16,Standard,1178538,4,OTA,Family,Tidak,4.0,Tidak,4714152,False
HTL0076,2026-03-17,Suite,577453,4,OTA,Business,Tidak,3.8,Tidak,2309812,False
HTL0077,2026-03-18,Family,453631,3,Travel Agent,Business,Tidak,4.2,Ya,1360893,False
HTL0078,2026-03-19,Standard,1159922,2,Travel Agent,Leisure,Tidak,3.8,Tidak,2319844,False
HTL0079,2026-03-20,Standard,659575,1,OTA,Business,Ya,3.9,Ya,659575,False
HTL0080,2026-03-21,Standard,1332935,4,OTA,Leisure,Tidak,4.3,Ya,5331740,True
HTL0081,2026-03-22,Deluxe,1379281,4,Travel Agent,Leisure,Tidak,5.0,Tidak,5517124,True
HTL0082,2026-03-23,Deluxe,913783,5,Website Hotel,Leisure,Tidak,4.5,Tidak,4568915,False
HTL0083,2026-03-24,Standard,1095239,6,Website Hotel,Business,Ya,4.0,Ya,6571434,False
HTL0084,2026-03-25,Suite,424351,4,Website Hotel,Leisure,Ya,4.2,Tidak,1697404,False
HTL0085,2026-03-26,Standard,1329147,6,Website Hotel,Leisure,Tidak,4.9,Tidak,7974882,False
HTL0086,2026-03-27,Standard,1194352,6,Website Hotel,Leisure,Tidak,4.4,Tidak,7166112,False
HTL0087,2026-03-28,Standard,1754450,6,Website Hotel,Family,Tidak,4.8,Tidak,10526700,True
HTL0088,2026-03-29,Family,753004,6,Website Hotel,Leisure,Tidak,4.3,Tidak,4518024,True
